"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Positive Login test","SUCCESS","2024-12-30T12:08:57.675+05:30[Asia/Kolkata]","0.0","6.01"
"Login","Negative username test","SUCCESS","2024-12-30T12:09:03.691+05:30[Asia/Kolkata]","0.0","4.58"
"Login","Negative password test","SUCCESS","2024-12-30T12:09:08.273+05:30[Asia/Kolkata]","0.0","4.16"
"CreateDirectory","Validate that directory is created","SUCCESS","2024-12-30T12:09:12.437+05:30[Asia/Kolkata]","0.0","36.3"
